course_id,name,description,price,average_rating,number_of_enrollments,number_of_rating
83,English for Kids,Fun and interactive English lessons designed for young children to learn basic vocabulary and expressions.,0.0,5.0,1,1
84,TOEIC Listening Practice,Improve your TOEIC listening skills with real exam simulations.,39.99,,3,0
85,English for Beginners,An introductory course designed for learners with no prior English experience.,0.0,1.0,1,1
86,Intermediate English Conversation,Enhance your conversational skills for everyday situations.,19.99,,1,0
87,Advanced English Grammar,Deep dive into complex grammar structures and usage.,29.99,,1,0
88,English through Music,Improve your English by listening to and analyzing popular songs.,9.99,,0,0
89,English through Movies,"Learn vocabulary, expressions and culture by watching scenes from famous movies.",14.99,,0,0
90,English for Negotiation,Master the key phrases and tactics used in professional negotiations.,19.99,,0,0
91,English for Social Media,"Learn how to communicate effectively and professionally on platforms like Facebook, Instagram, and LinkedIn.",7.99,,0,0
92,English for HR Professionals,"Essential English skills for recruitment, onboarding, and HR communication.",24.99,,0,0
93,English for Interviews,Ace your job interviews with strong English responses.,12.99,,0,0
94,English Idioms and Phrases,Expand your English fluency with common idioms and phrases.,8.99,,0,0
95,Time Management Mastery,Learn proven strategies to manage your time effectively and boost productivity.,14.99,,0,0
96,Building Good Habits,Understand the science of habit formation and how to build lasting positive routines.,11.99,,0,0
97,Self-Learning and Personal Growth,Develop your ability to learn independently and grow continuously.,9.99,,0,0
98,The Psychology of Motivation,Explore what drives human behavior and how to stay motivated long-term.,17.49,,0,0
99,Self-Reflection for Career Improvement,Use reflection as a tool to evaluate your career path and identify areas for improvement.,13.49,,0,0
100,Super Test,Super Test,0.0,,0,0
101,Ultra test,Ultra test,0.0,,1,0
104,Cristianoooo,Herrscher_of_Thuder,0.0,,0,0
105,Ronaldo Siuuuuu CRT7 SIu,Champions Siu 666,7.99,,0,0
106,My test 123,222,0.0,,0,0
107,Do an tot nghiep,222,0.0,,0,0
108,Phan bien hom nay ,222,0.0,,0,0
109,Please Let me pass ,222,0.0,,0,0
